Ticker,Sector,Strategy,Total Return %,Max Drawdown %,Sharpe Ratio,Win Rate %,Num Trades,Final P&L,Final Shares
VGT,Information Technology,StdDev (Sector),20.433134454977516,-22.949527791608425,0.49101858883456684,72.72727272727273,21,2043.3134454977517,16.479630058381378
VHT,Health Care,StdDev (Sector),14.268132760171904,-16.73884152753869,0.6346574580040328,69.23076923076923,25,1426.8132760171902,39.349883603439785
VFH,Financials,StdDev (Sector),7.0300834141505035,-16.842437364976174,0.2537923022245017,60.0,19,703.0083414150504,84.40192845575622
VCR,Consumer Discretionary,StdDev (Sector),17.16121758750096,-23.90609164148922,0.49407486227560066,84.61538461538461,25,1716.121758750096,30.521066787659215
VDC,Consumer Staples,StdDev (Sector),23.549342005866112,-4.185279599186057,1.2978015843578916,84.61538461538461,26,2354.934200586611,0.0
VDE,Energy,StdDev (Sector),34.34474606198861,-11.987694786927168,0.946232042773044,76.92307692307693,26,3434.474606198861,0.0
VIS,Industrials,StdDev (Sector),18.02007407799156,-16.843000436489632,0.6521975769729026,80.0,20,1802.0074077991558,0.0
VOX,Communication Services,StdDev (Sector),5.782580749180215,-18.88284881901693,0.20728274602952865,77.77777777777779,17,578.2580749180215,56.54705543783085
VNQ,Real Estate,StdDev (Sector),12.95493067149,-18.220274763518454,0.5253822878652524,75.0,24,1295.4930671490001,0.0
VAW,Materials,StdDev (Sector),0.9034762161728577,-20.991491987748578,0.03414477225523205,50.0,16,90.34762161728577,0.0
VPU,Utilities,StdDev (Sector),17.35977863118218,-5.676336125906454,0.8607655525748947,81.81818181818183,22,1735.977863118218,0.0
Portfolio,11 Sectors (Equal Weight),StdDev (Portfolio),15.618863330061128,-16.11125680403689,0.5815772521970407,73.88253160980433,241,1561.8863330061126,N/A
VOO,S&P 500 (Benchmark),Buy & Hold (VOO),36.78893341768968,-18.97031878896855,1.0312347604755592,N/A,1,3678.8933417689677,21.820244416303467
