Ticker,Sector,Trades,P&L,Return %,Wins,Win Rate %
VDE,Energy,20,805.8524616343706,8.058524616343705,8,80.0
VGT,Information Technology,15,550.1746920396537,5.501746920396537,6,75.0
VDC,Consumer Staples,22,545.6580862205506,5.456580862205505,9,81.81818181818183
VNQ,Real Estate,18,449.5012167933314,4.495012167933314,8,88.88888888888889
VHT,Health Care,19,303.7757222429581,3.0377572224295815,7,70.0
VOX,Communication Services,11,249.59453294684454,2.4959453294684453,5,83.33333333333334
VIS,Industrials,10,222.28204918316905,2.2228204918316905,4,80.0
VPU,Utilities,16,127.04163028270493,1.2704163028270492,6,75.0
VCR,Consumer Discretionary,17,72.06855774601443,0.7206855774601444,7,77.77777777777779
VFH,Financials,13,-5.398574083788304,-0.053985740837883045,4,57.14285714285714
VAW,Materials,12,-204.45537957460712,-2.0445537957460713,2,33.33333333333333
